date,meantemp
2017-02-09,15.375
2017-02-10,14.666666666666666
2017-02-11,15.625
2017-02-12,16.25
2017-02-13,16.333333333333332
2017-02-14,16.875
2017-02-15,17.571428571428573
2017-02-16,20.25
2017-02-17,21.3
2017-02-18,21.125
2017-02-19,22.363636363636363
2017-02-20,23.375
2017-02-21,21.833333333333332
2017-02-22,19.125
2017-02-23,18.625
2017-02-24,19.125
2017-02-25,19.0
2017-02-26,18.75
2017-02-27,19.875
2017-02-28,23.333333333333332
2017-03-01,24.46153846153846
2017-03-02,23.75
2017-03-03,20.5
2017-03-04,19.125
2017-03-05,19.75
2017-03-06,20.0
2017-03-07,22.625
2017-03-08,21.545454545454547
2017-03-09,20.785714285714285
2017-03-10,19.9375
2017-03-11,18.533333333333335
2017-03-12,17.375
2017-03-13,17.444444444444443
2017-03-14,18.0
2017-03-15,19.875
2017-03-16,24.0
2017-03-17,20.9
2017-03-18,24.692307692307693
2017-03-19,24.666666666666668
2017-03-20,23.333333333333332
2017-03-21,25.0
2017-03-22,27.25
2017-03-23,28.0
2017-03-24,28.916666666666668
2017-03-25,26.5
2017-03-26,29.1
2017-03-27,29.5
2017-03-28,29.88888888888889
2017-03-29,31.0
2017-03-30,29.285714285714285
2017-03-31,30.625
2017-04-01,31.375
2017-04-02,29.75
2017-04-03,30.5
2017-04-04,30.933333333333334
2017-04-05,29.23076923076923
2017-04-06,31.22222222222222
2017-04-07,27.0
2017-04-08,25.625
2017-04-09,27.125
2017-04-10,27.857142857142858
2017-04-11,29.25
2017-04-12,29.25
2017-04-13,29.666666666666668
2017-04-14,30.5
2017-04-15,31.22222222222222
2017-04-16,31.0
2017-04-17,32.55555555555556
2017-04-18,34.0
2017-04-19,33.5
2017-04-20,34.5
2017-04-21,34.25
2017-04-22,32.9
2017-04-23,32.875
2017-04-24,32.0
